Unnamed: 0,class,type,date,value,percentage,aacc,unit
232,oil_gas,No-Renovable,2015-01-01,115920.162,0.0544625281585253,Castilla-La Mancha,MWh
233,,Renovable,2015-01-01,843910.618,0.3964927671176267,Castilla-La Mancha,MWh
234,solar,Renovable,2015-01-01,119605.298,0.0561939079263348,Castilla-La Mancha,MWh
235,solar,Renovable,2015-01-01,28687.751,0.0134783062729179,Castilla-La Mancha,MWh
236,bioenergy,Renovable,2015-01-01,21508.804,0.0101054365633668,Castilla-La Mancha,MWh
237,oil_gas,No-Renovable,2015-01-01,38994.493,0.0183207013896333,Castilla-La Mancha,MWh
238,others,Generación total,2015-01-01,2128438.8719999995,1.0,Castilla-La Mancha,MWh
239,,Renovable,2015-01-01,637510.904,0.2355457009731322,Castilla-Leon,MWh
240,hydropower,No-Renovable,2015-01-01,45097.203,0.0166623852641783,Castilla-Leon,MWh
241,nuclear,No-Renovable,2015-01-01,-1922.414,0.0007102880128785,Castilla-Leon,MWh
242,coal,No-Renovable,2015-01-01,794903.778,0.2936987687903156,Castilla-Leon,MWh
243,,Renovable,2015-01-01,1004888.307,0.3712832505089499,Castilla-Leon,MWh
244,solar,Renovable,2015-01-01,44318.279,0.0163745906579471,Castilla-Leon,MWh
245,bioenergy,Renovable,2015-01-01,22498.831,0.0083128035704484,Castilla-Leon,MWh
246,oil_gas,No-Renovable,2015-01-01,155387.728,0.0574122122221495,Castilla-Leon,MWh
247,others,Generación total,2015-01-01,2702682.616,1.0,Castilla-Leon,MWh
248,,Renovable,2015-01-01,374907.888,0.0930815999418813,Cataluña,MWh
249,hydropower,No-Renovable,2015-01-01,38072.762,0.0094526514767981,Cataluña,MWh
250,nuclear,No-Renovable,2015-01-01,2214169.982,0.5497309901034855,Cataluña,MWh
251,oil_gas,No-Renovable,2015-01-01,564853.85,0.1402411146156825,Cataluña,MWh
252,,Renovable,2015-01-01,361144.539,0.0896644551271569,Cataluña,MWh
253,solar,Renovable,2015-01-01,21770.057,0.0054050389475559,Cataluña,MWh
254,solar,Renovable,2015-01-01,1137.14,0.0002823275101587,Cataluña,MWh
255,bioenergy,Renovable,2015-01-01,15376.211,0.0038175839099015,Cataluña,MWh
256,oil_gas,No-Renovable,2015-01-01,411771.521,0.1022340505814644,Cataluña,MWh
257,coal,Renovable,2015-01-01,12264.827,0.0030450938929574,Cataluña,MWh
258,bioenergy,Renovable,2015-01-01,12264.827,0.0030450938929574,Cataluña,MWh
259,others,Generación total,2015-01-01,4027733.604,1.0,Cataluña,MWh
260,,Renovable,2015-01-01,58225.095,0.107244108427656,Pais Vasco,MWh
261,oil_gas,No-Renovable,2015-01-01,204588.413,0.3768289591766929,Pais Vasco,MWh
262,,Renovable,2015-01-01,28346.676,0.052211404627294,Pais Vasco,MWh
263,solar,Renovable,2015-01-01,1170.339,0.0021556334534639,Pais Vasco,MWh
264,bioenergy,Renovable,2015-01-01,1482.463,0.0027305309284937,Pais Vasco,MWh
265,oil_gas,No-Renovable,2015-01-01,188998.312,0.3481137379813971,Pais Vasco,MWh
266,coal,Renovable,2015-01-01,36575.877,0.0673686718557455,Pais Vasco,MWh
267,bioenergy,Renovable,2015-01-01,23533.978,0.0433469535492569,Pais Vasco,MWh
268,others,Generación total,2015-01-01,542921.1529999999,1.0,Pais Vasco,MWh
269,,Renovable,2015-01-01,149692.167,0.0934199280405742,Asturias,MWh
270,hydropower,No-Renovable,2015-01-01,3032.911,0.0018927799166236,Asturias,MWh
271,coal,No-Renovable,2015-01-01,1196302.417,0.7465887357412964,Asturias,MWh
272,oil_gas,No-Renovable,2015-01-01,45452.17,0.0283658025385386,Asturias,MWh
273,,Renovable,2015-01-01,103831.214,0.0647990120969086,Asturias,MWh
274,solar,Renovable,2015-01-01,29.522,1.842409773928807e-05,Asturias,MWh
275,bioenergy,Renovable,2015-01-01,20303.976,0.0126713108298949,Asturias,MWh
276,oil_gas,No-Renovable,2015-01-01,30144.901,0.0188128379637274,Asturias,MWh
277,coal,Renovable,2015-01-01,53568.7,0.0334311687746968,Asturias,MWh
278,others,Generación total,2015-01-01,1602357.978,1.0,Asturias,MWh
279,,Renovable,2015-01-01,9846.798,0.0974372681160422,Madrid,MWh
280,solar,Renovable,2015-01-01,5302.247,0.0524674582089,Madrid,MWh
281,bioenergy,Renovable,2015-01-01,14208.039,0.1405931659658484,Madrid,MWh
282,oil_gas,No-Renovable,2015-01-01,60865.055,0.6022795108554736,Madrid,MWh
283,coal,Renovable,2015-01-01,5417.841,0.0536112984268679,Madrid,MWh
284,bioenergy,Renovable,2015-01-01,5417.841,0.0536112984268679,Madrid,MWh
285,others,Generación total,2015-01-01,101057.821,1.0,Madrid,MWh
286,,Renovable,2015-01-01,58806.542,0.1201166106129692,Navarra,MWh
287,oil_gas,No-Renovable,2015-01-01,56784.617,0.115986682723082,Navarra,MWh
288,,Renovable,2015-01-01,267116.883,0.5456055318379556,Navarra,MWh
289,solar,Renovable,2015-01-01,16080.194,0.0328449579857799,Navarra,MWh
