project,type,country,unit,status,capacity,start_year,owner,lat,lng,url,aacc
Los Guinchos power station,oil_gas,Spain,MWh,operating,37440.0,2006.0,Endesa SA,28.662979,-17.791705,https://www.gem.wiki/Los_Guinchos_power_station,Canarias
Losan Pina power station,oil_gas,Spain,MWh,operating,16560.0,2003.0,PINA SA,39.99519,-2.04026,https://www.gem.wiki/Losan_Pina_power_station,Castilla_la_Mancha
Losan Talosa power station,oil_gas,Spain,MWh,operating,16560.0,2018.0,TABLEROS LOSÁN SA,41.78313,-2.51152,https://www.gem.wiki/Losan_Talosa_power_station,Castilla_León
Mahon power station,oil_gas,Spain,MWh,operating,27360.0,1992.0,Endesa SA,39.89686,4.25858,https://www.gem.wiki/Mahon_power_station,Baleares
Mahon power station,oil_gas,Spain,MWh,operating,28080.0,1992.0,Endesa SA,39.89686,4.25858,https://www.gem.wiki/Mahon_power_station,Baleares
Mahon power station,oil_gas,Spain,MWh,operating,32400.0,1999.0,Endesa SA,39.89686,4.25858,https://www.gem.wiki/Mahon_power_station,Baleares
Mahon power station,oil_gas,Spain,MWh,operating,37440.0,1999.0,Endesa SA,39.89686,4.25858,https://www.gem.wiki/Mahon_power_station,Baleares
Mahon power station,oil_gas,Spain,MWh,operating,37440.0,1999.0,Endesa SA,39.89686,4.25858,https://www.gem.wiki/Mahon_power_station,Baleares
Mahon power station,oil_gas,Spain,MWh,operating,34560.0,1991.0,Endesa SA,39.89686,4.25858,https://www.gem.wiki/Mahon_power_station,Baleares
Martorell Seat power station,oil_gas,Spain,MWh,operating,18000.0,2012.0,SEAT SA,41.49612,1.90134,https://www.gem.wiki/Martorell_Seat_power_station,Cataluña
Melilla power station,oil_gas,Spain,MWh,operating,25920.0,2006.0,Endesa SA,35.290441,-2.937943,https://www.gem.wiki/Melilla_power_station,Melilla
Michelin Aranda power station,oil_gas,Spain,MWh,operating,23040.0,2003.0,Energyworks Aranda Sl,41.66287,-3.71,https://www.gem.wiki/Michelin_Aranda_power_station,Castilla_León
Michelin Valladolid power station,oil_gas,Spain,MWh,operating,33120.0,2000.0,Energyworks Vit-vall Sl,41.67526,-4.71607,https://www.gem.wiki/Michelin_Valladolid_power_station,Castilla_León
Motril Mill power station,oil_gas,Spain,MWh,operating,35280.0,2001.0,Cogeneracion Motril SA,36.73162,-3.5424,https://www.gem.wiki/Motril_Mill_power_station,Andalucía
Málaga power station,oil_gas,Spain,MWh,operating,299520.0,2009.0,Naturgy Energy Group SA,36.7495,-4.5631,https://www.gem.wiki/Málaga_power_station,Andalucía
Navia (Prat) power station,oil_gas,Spain,MWh,operating,17280.0,1997.0,Industrias Lacteas Asturianas SA,43.50544,-6.69441,https://www.gem.wiki/Navia_(Prat)_power_station,Asturias
Neumaticos Michelin Vitoria power station,oil_gas,Spain,MWh,operating,33840.0,2000.0,Energyworks Vit-vall Sl,42.86668,-2.67174,https://www.gem.wiki/Neumaticos_Michelin_Vitoria_power_station,País_Vasco
Palos power station,oil_gas,Spain,MWh,operating,278424.0,2004.0,Naturgy Energy Group SA,37.18448,-6.89279,https://www.gem.wiki/Palos_power_station,Andalucía
Palos power station,oil_gas,Spain,MWh,operating,280152.0,2005.0,Naturgy Energy Group SA,37.18448,-6.89279,https://www.gem.wiki/Palos_power_station,Andalucía
Palos power station,oil_gas,Spain,MWh,operating,281520.0,2005.0,Naturgy Energy Group SA,37.18448,-6.89279,https://www.gem.wiki/Palos_power_station,Andalucía
Pamplona power station,oil_gas,Spain,MWh,operating,25920.0,,Endesa SA,42.54557,-1.35485,https://www.gem.wiki/Pamplona_power_station,Navarra
Peninsular de Cogeneracion Mill power station,oil_gas,Spain,MWh,operating,24480.0,2010.0,Peninsular de Cogeneracion SA,40.27090896,-3.768105933,https://www.gem.wiki/Peninsular_de_Cogeneracion_Mill_power_station,Madrid
Plana del Vent power station,oil_gas,Spain,MWh,operating,302472.0,2007.0,Naturgy Energy Group SA,40.9596,0.8692,https://www.gem.wiki/Plana_del_Vent_power_station,Cataluña
Plana del Vent power station,oil_gas,Spain,MWh,operating,298080.0,2007.0,Alpiq Energía España SAU,40.9596,0.8692,https://www.gem.wiki/Plana_del_Vent_power_station,Cataluña
Pobla De Claramunt power station,oil_gas,Spain,MWh,operating,23760.0,2008.0,Unión Industrial Papelera SA,41.55193,1.68554,https://www.gem.wiki/Pobla_De_Claramunt_power_station,Cataluña
