class,type,date,value,percentage,aacc
Cogeneración,No-Renovable,2014-01-01,499340.165,0.19044288847122445,Andalucía
Generación total,Generación total,2014-01-01,2621994.284,1.0,Andalucía
Hidráulica,Renovable,2014-01-01,307350.643,0.23969579640367902,Aragón
Turbinación bombeo,No-Renovable,2014-01-01,36019.861,0.028091072738523012,Aragón
Carbón,No-Renovable,2014-01-01,168347.956,0.1312907531036189,Aragón
Ciclo combinado,No-Renovable,2014-01-01,17808.213,0.013888221465543998,Aragón
Eólica,Renovable,2014-01-01,428104.51,0.3338689988309437,Aragón
Solar fotovoltaica,Renovable,2014-01-01,12116.155,0.009449114515356384,Aragón
Otras renovables,Renovable,2014-01-01,5328.392,0.004155492083974564,Aragón
Cogeneración,No-Renovable,2014-01-01,299517.95,0.23358725676213185,Aragón
Residuos no renovables,Renovable,2014-01-01,7659.274,0.005973294096228692,Aragón
Generación total,Generación total,2014-01-01,1282252.954,1.0,Aragón
Hidráulica,Renovable,2014-01-01,40162.514,0.18788377982409832,Cantabria
Turbinación bombeo,No-Renovable,2014-01-01,68558.01,0.3207204124726437,Cantabria
Eólica,Renovable,2014-01-01,12641.086,0.059136114307024985,Cantabria
Solar fotovoltaica,Renovable,2014-01-01,155.628,0.0007280414987583887,Cantabria
Otras renovables,Renovable,2014-01-01,7073.671,0.03309125630711537,Cantabria
Cogeneración,No-Renovable,2014-01-01,85171.631,0.3984403955903593,Cantabria
Generación total,Generación total,2014-01-01,213762.53999999998,1.0,Cantabria
Hidráulica,Renovable,2014-01-01,96235.832,0.04053990526397864,Castilla_la_Mancha
Turbinación bombeo,No-Renovable,2014-01-01,7411.98,0.003122339785232016,Castilla_la_Mancha
Nuclear,No-Renovable,2014-01-01,738184.851,0.310964671940948,Castilla_la_Mancha
Carbón,No-Renovable,2014-01-01,18014.26,0.007588612044219452,Castilla_la_Mancha
Ciclo combinado,No-Renovable,2014-01-01,88263.147,0.03718136522870837,Castilla_la_Mancha
Eólica,Renovable,2014-01-01,1230465.306,0.5183406834977277,Castilla_la_Mancha
Solar fotovoltaica,Renovable,2014-01-01,73383.005,0.030913018663215493,Castilla_la_Mancha
Solar térmica,Renovable,2014-01-01,7935.708,0.003342963258452396,Castilla_la_Mancha
Otras renovables,Renovable,2014-01-01,20416.378,0.008600518255545166,Castilla_la_Mancha
Cogeneración,No-Renovable,2014-01-01,93543.921,0.039405922061972735,Castilla_la_Mancha
