,class,type,date,value,percentage,aacc,comunidad
200,Turbinación bombeo,No-Renovable,2015-01-01,31478.777,0.010260613334806592,4,Andalucía
201,Carbón,No-Renovable,2015-01-01,1126723.635,0.36725936188444536,4,Andalucía
202,Ciclo combinado,No-Renovable,2015-01-01,493423.153,0.1608329378035911,4,Andalucía
203,Eólica,Renovable,2015-01-01,609617.02,0.198706719912818,4,Andalucía
204,Solar fotovoltaica,Renovable,2015-01-01,104183.797,0.033959059361454325,4,Andalucía
205,Solar térmica,Renovable,2015-01-01,81452.689,0.02654977818576796,4,Andalucía
206,Otras renovables,Renovable,2015-01-01,122853.818,0.04004461555805367,4,Andalucía
207,Cogeneración,No-Renovable,2015-01-01,460347.477,0.15005180986385752,4,Andalucía
208,Generación total,Generación total,2015-01-01,3067923.5219999994,1.0,4,Andalucía
209,Hidráulica,Renovable,2015-01-01,231539.73,0.15053076384210246,5,Aragón
210,Turbinación bombeo,No-Renovable,2015-01-01,29167.832,0.01896286235877583,5,Aragón
211,Carbón,No-Renovable,2015-01-01,465086.606,0.30236643211906206,5,Aragón
212,Ciclo combinado,No-Renovable,2015-01-01,36181.937,0.02352293757057084,5,Aragón
213,Eólica,Renovable,2015-01-01,520478.961,0.3383786254008064,5,Aragón
214,Solar fotovoltaica,Renovable,2015-01-01,16179.925,0.010519043402002453,5,Aragón
215,Otras renovables,Renovable,2015-01-01,4482.467,0.0029141831572793895,5,Aragón
216,Cogeneración,No-Renovable,2015-01-01,201553.154,0.1310356120152896,5,Aragón
217,Residuos no renovables,Renovable,2015-01-01,33484.939,0.021769540134110917,5,Aragón
218,Generación total,Generación total,2015-01-01,1538155.5510000002,1.0,5,Aragón
219,Hidráulica,Renovable,2015-01-01,30149.728,0.18518331547767208,6,Cantabria
220,Turbinación bombeo,No-Renovable,2015-01-01,50204.43,0.3083617470468292,6,Cantabria
221,Eólica,Renovable,2015-01-01,4938.689,0.030334031641449932,6,Cantabria
222,Solar fotovoltaica,Renovable,2015-01-01,79.094,0.00048580501802175446,6,Cantabria
223,Otras renovables,Renovable,2015-01-01,5132.423,0.0315239695553426,6,Cantabria
224,Cogeneración,No-Renovable,2015-01-01,72305.811,0.44411113126068447,6,Cantabria
225,Residuos no renovables,Renovable,2015-03-01,3445.1475,0.0192047771055768,6,Cantabria
226,Residuos renovables,Renovable,2015-03-01,3445.1475,0.0192047771055768,6,Cantabria
227,Generación total,Generación total,2015-01-01,162810.175,1.0,6,Cantabria
228,Hidráulica,Renovable,2015-01-01,65596.787,0.030819201745907604,7,Castilla_la_Mancha
229,Turbinación bombeo,No-Renovable,2015-01-01,2429.59,0.001141489206930816,7,Castilla_la_Mancha
230,Nuclear,No-Renovable,2015-01-01,736096.046,0.3458384714184078,7,Castilla_la_Mancha
231,Carbón,No-Renovable,2015-01-01,155689.323,0.07314719020034889,7,Castilla_la_Mancha
232,Ciclo combinado,No-Renovable,2015-01-01,115920.162,0.05446252815852539,7,Castilla_la_Mancha
233,Eólica,Renovable,2015-01-01,843910.618,0.39649276711762677,7,Castilla_la_Mancha
234,Solar fotovoltaica,Renovable,2015-01-01,119605.298,0.05619390792633486,7,Castilla_la_Mancha
235,Solar térmica,Renovable,2015-01-01,28687.751,0.013478306272917951,7,Castilla_la_Mancha
236,Otras renovables,Renovable,2015-01-01,21508.804,0.010105436563366809,7,Castilla_la_Mancha
237,Cogeneración,No-Renovable,2015-01-01,38994.493,0.018320701389633338,7,Castilla_la_Mancha
238,Generación total,Generación total,2015-01-01,2128438.8719999995,1.0,7,Castilla_la_Mancha
239,Hidráulica,Renovable,2015-01-01,637510.904,0.23554570097313227,8,Castilla_León
240,Turbinación bombeo,No-Renovable,2015-01-01,45097.203,0.01666238526417839,8,Castilla_León
241,Nuclear,No-Renovable,2015-01-01,-1922.414,0.0007102880128785422,8,Castilla_León
242,Carbón,No-Renovable,2015-01-01,794903.778,0.29369876879031565,8,Castilla_León
243,Eólica,Renovable,2015-01-01,1004888.307,0.37128325050894995,8,Castilla_León
244,Solar fotovoltaica,Renovable,2015-01-01,44318.279,0.016374590657947156,8,Castilla_León
245,Otras renovables,Renovable,2015-01-01,22498.831,0.008312803570448479,8,Castilla_León
246,Cogeneración,No-Renovable,2015-01-01,155387.728,0.05741221222214955,8,Castilla_León
247,Generación total,Generación total,2015-01-01,2702682.616,1.0,8,Castilla_León
248,Hidráulica,Renovable,2015-01-01,374907.888,0.09308159994188135,9,Cataluña
249,Turbinación bombeo,No-Renovable,2015-01-01,38072.762,0.009452651476798116,9,Cataluña
250,Nuclear,No-Renovable,2015-01-01,2214169.982,0.5497309901034855,9,Cataluña
251,Ciclo combinado,No-Renovable,2015-01-01,564853.85,0.1402411146156825,9,Cataluña
252,Eólica,Renovable,2015-01-01,361144.539,0.0896644551271569,9,Cataluña
253,Solar fotovoltaica,Renovable,2015-01-01,21770.057,0.005405038947555976,9,Cataluña
254,Solar térmica,Renovable,2015-01-01,1137.14,0.0002823275101587379,9,Cataluña
255,Otras renovables,Renovable,2015-01-01,15376.211,0.0038175839099015047,9,Cataluña
256,Cogeneración,No-Renovable,2015-01-01,411771.521,0.10223405058146443,9,Cataluña
257,Residuos no renovables,Renovable,2015-01-01,12264.827,0.0030450938929574745,9,Cataluña
258,Residuos renovables,Renovable,2015-01-01,12264.827,0.0030450938929574745,9,Cataluña
259,Generación total,Generación total,2015-01-01,4027733.6040000003,1.0,9,Cataluña
260,Hidráulica,Renovable,2015-01-01,58225.095,0.107244108427656,10,País_Vasco
261,Ciclo combinado,No-Renovable,2015-01-01,204588.413,0.3768289591766929,10,País_Vasco
262,Eólica,Renovable,2015-01-01,28346.676,0.05221140462729402,10,País_Vasco
263,Solar fotovoltaica,Renovable,2015-01-01,1170.339,0.002155633453463914,10,País_Vasco
264,Otras renovables,Renovable,2015-01-01,1482.463,0.0027305309284937737,10,País_Vasco
265,Cogeneración,No-Renovable,2015-01-01,188998.312,0.34811373798139716,10,País_Vasco
266,Residuos no renovables,Renovable,2015-01-01,36575.877,0.06736867185574552,10,País_Vasco
267,Residuos renovables,Renovable,2015-01-01,23533.978,0.043346953549256904,10,País_Vasco
268,Generación total,Generación total,2015-01-01,542921.1529999999,1.0,10,País_Vasco
269,Hidráulica,Renovable,2015-01-01,149692.167,0.09341992804057421,11,Asturias
270,Turbinación bombeo,No-Renovable,2015-01-01,3032.911,0.0018927799166236,11,Asturias
271,Carbón,No-Renovable,2015-01-01,1196302.417,0.7465887357412964,11,Asturias
272,Ciclo combinado,No-Renovable,2015-01-01,45452.17,0.028365802538538615,11,Asturias
273,Eólica,Renovable,2015-01-01,103831.214,0.06479901209690861,11,Asturias
274,Solar fotovoltaica,Renovable,2015-01-01,29.522,1.842409773928807e-05,11,Asturias
275,Otras renovables,Renovable,2015-01-01,20303.976,0.012671310829894967,11,Asturias
276,Cogeneración,No-Renovable,2015-01-01,30144.901,0.018812837963727482,11,Asturias
277,Residuos no renovables,Renovable,2015-01-01,53568.7,0.03343116877469686,11,Asturias
278,Generación total,Generación total,2015-01-01,1602357.978,1.0,11,Asturias
279,Hidráulica,Renovable,2015-01-01,9846.798,0.09743726811604221,13,Madrid
280,Solar fotovoltaica,Renovable,2015-01-01,5302.247,0.05246745820890004,13,Madrid
281,Otras renovables,Renovable,2015-01-01,14208.039,0.14059316596584842,13,Madrid
282,Cogeneración,No-Renovable,2015-01-01,60865.055,0.6022795108554736,13,Madrid
283,Residuos no renovables,Renovable,2015-01-01,5417.841,0.053611298426867925,13,Madrid
284,Residuos renovables,Renovable,2015-01-01,5417.841,0.053611298426867925,13,Madrid
285,Generación total,Generación total,2015-01-01,101057.821,1.0,13,Madrid
286,Hidráulica,Renovable,2015-01-01,58806.542,0.12011661061296929,14,Navarra
287,Ciclo combinado,No-Renovable,2015-01-01,56784.617,0.115986682723082,14,Navarra
288,Eólica,Renovable,2015-01-01,267116.883,0.5456055318379556,14,Navarra
289,Solar fotovoltaica,Renovable,2015-01-01,16080.194,0.032844957985779966,14,Navarra
290,Otras renovables,Renovable,2015-01-01,27636.768,0.05645009530499124,14,Navarra
291,Cogeneración,No-Renovable,2015-01-01,63153.762,0.128996121535222,14,Navarra
292,Generación total,Generación total,2015-01-01,489578.76599999995,1.0,14,Navarra
293,Hidráulica,Renovable,2015-01-01,27133.953,0.014912507358783344,15,Valenciana
294,Turbinación bombeo,No-Renovable,2015-01-01,105543.78,0.05800564318526719,15,Valenciana
295,Nuclear,No-Renovable,2015-01-01,790443.58,0.434418667396271,15,Valenciana
296,Fuel + Gas,No-Renovable,2015-01-01,0.322,1.7696748312080575e-07,15,Valenciana
297,Ciclo combinado,No-Renovable,2015-01-01,381840.09,0.2098549058444781,15,Valenciana
298,Eólica,Renovable,2015-01-01,320828.78,0.17632379412831897,15,Valenciana
299,Solar fotovoltaica,Renovable,2015-01-01,36561.775,0.020093929503662105,15,Valenciana
300,Solar térmica,Renovable,2015-01-01,4567.882,0.002510455219667181,15,Valenciana
301,Otras renovables,Renovable,2015-01-01,2882.717,0.0015843079877004963,15,Valenciana
302,Cogeneración,No-Renovable,2015-01-01,116293.764,0.06391371030349369,15,Valenciana
303,Residuos no renovables,Renovable,2015-01-01,33446.667,0.018381902104874878,15,Valenciana
304,Generación total,Generación total,2015-01-01,1819543.3099999998,1.0,15,Valenciana
305,Hidráulica,Renovable,2015-01-01,65475.528,0.037950022891982134,16,Extremadura
306,Turbinación bombeo,No-Renovable,2015-01-01,7889.564,0.004572840319939965,16,Extremadura
307,Nuclear,No-Renovable,2015-01-01,1501257.862,0.8701383855914556,16,Extremadura
308,Solar fotovoltaica,Renovable,2015-01-01,66691.635,0.03865488606603854,16,Extremadura
309,Solar térmica,Renovable,2015-01-01,59476.51,0.03447295478144451,16,Extremadura
310,Otras renovables,Renovable,2015-01-01,20658.113,0.011973570663762402,16,Extremadura
311,Cogeneración,No-Renovable,2015-01-01,3860.103,0.002237339685376938,16,Extremadura
312,Generación total,Generación total,2015-01-01,1725309.3149999997,1.0,16,Extremadura
