project,unit,capacity,type,status,start_year,owner,operator,country,url,lat,lng,accuracy
Cangnan San'ao nuclear power plant,1-2,1210.0,nuclear,construction,2027.0,China General Nuclear Power Group CO LTD [51%]; Shenergy CO LTD [20%]; Anhui Wanneng CO LTD [15%]; Shanghai Power CO LTD [14%],CGN Cangnan Nuclear Power CO LTD,China,https://gem.wiki/Cangnan_San'ao_nuclear_power_plant,27.19629,120.5191,Approximate
Cangnan San'ao nuclear power plant,2-3,1150.0,nuclear,pre-construction,,China General Nuclear Power Group CO LTD [51%]; Shenergy CO LTD [20%]; Anhui Wanneng CO LTD [15%]; Shanghai Power CO LTD [14%],CGN Cangnan Nuclear Power CO LTD,China,https://gem.wiki/Cangnan_San'ao_nuclear_power_plant,27.19629,120.5191,Approximate
Cangnan San'ao nuclear power plant,2-4,1150.0,nuclear,pre-construction,,China General Nuclear Power Group CO LTD [51%]; Shenergy CO LTD [20%]; Anhui Wanneng CO LTD [15%]; Shanghai Power CO LTD [14%],CGN Cangnan Nuclear Power CO LTD,China,https://gem.wiki/Cangnan_San'ao_nuclear_power_plant,27.19629,120.5191,Approximate
Cangnan San'ao nuclear power plant,3-5,1150.0,nuclear,announced,,China General Nuclear Power Group CO LTD [51%]; Shenergy CO LTD [20%]; Anhui Wanneng CO LTD [15%]; Shanghai Power CO LTD [14%],CGN Cangnan Nuclear Power CO LTD,China,https://gem.wiki/Cangnan_San'ao_nuclear_power_plant,27.19629,120.5191,Approximate
Cangnan San'ao nuclear power plant,3-6,1150.0,nuclear,announced,,China General Nuclear Power Group CO LTD [51%]; Shenergy CO LTD [20%]; Anhui Wanneng CO LTD [15%]; Shanghai Power CO LTD [14%],CGN Cangnan Nuclear Power CO LTD,China,https://gem.wiki/Cangnan_San'ao_nuclear_power_plant,27.19629,120.5191,Approximate
Changde nuclear power plant,1-1,1000.0,nuclear,cancelled,,China General Nuclear Power Group CO LTD,,China,https://gem.wiki/Changde_nuclear_power_plant,28.9188,111.49301,Approximate
Changde nuclear power plant,1-2,1000.0,nuclear,cancelled,,China General Nuclear Power Group CO LTD,,China,https://gem.wiki/Changde_nuclear_power_plant,28.9188,111.49301,Approximate
Changde nuclear power plant,3,1000.0,nuclear,cancelled,,China General Nuclear Power Group CO LTD,,China,https://gem.wiki/Changde_nuclear_power_plant,28.9188,111.49301,Approximate
Changde nuclear power plant,4,1000.0,nuclear,cancelled,,China General Nuclear Power Group CO LTD,,China,https://gem.wiki/Changde_nuclear_power_plant,28.9188,111.49301,Approximate
Changjiang nuclear power plant,1,650.0,nuclear,operating,2015.0,Huaneng Nuclear Power Development CO LTD [51%]; China Nuclear Power CORP [49%],Huaneng Hainan Changjiang Nuclear Power CO LTD,China,https://gem.wiki/Changjiang_nuclear_power_plant,19.4606,108.9006,Approximate
