project,type,country,unit,status,capacity,start_year,owner,lat,lng,url
Neumaticos Michelin Vitoria power station,oil_gas,Spain,1,operating,47.0,2000,Energyworks Vit-vall Sl,42.86668,-2.67174,https://www.gem.wiki/Neumaticos_Michelin_Vitoria_power_station
Palos power station,oil_gas,Spain,1,operating,386.7,2004,Naturgy Energy Group SA,37.18448,-6.89279,https://www.gem.wiki/Palos_power_station
Palos power station,oil_gas,Spain,2,operating,389.1,2005,Naturgy Energy Group SA,37.18448,-6.89279,https://www.gem.wiki/Palos_power_station
Palos power station,oil_gas,Spain,3,operating,391.0,2005,Naturgy Energy Group SA,37.18448,-6.89279,https://www.gem.wiki/Palos_power_station
Pamplona power station,oil_gas,Spain,IC5-8,operating,36.0,,Endesa SA,42.54557,-1.35485,https://www.gem.wiki/Pamplona_power_station
Peninsular de Cogeneracion Mill power station,oil_gas,Spain,1,operating,34.0,2010,Peninsular de Cogeneracion SA,40.27090896,-3.768105933,https://www.gem.wiki/Peninsular_de_Cogeneracion_Mill_power_station
Plana del Vent power station,oil_gas,Spain,1,operating,420.1,2007,Naturgy Energy Group SA,40.9596,0.8692,https://www.gem.wiki/Plana_del_Vent_power_station
Plana del Vent power station,oil_gas,Spain,2,operating,414.0,2007,Alpiq Energía España SAU,40.9596,0.8692,https://www.gem.wiki/Plana_del_Vent_power_station
Pobla De Claramunt power station,oil_gas,Spain,1,operating,33.0,2008,Unión Industrial Papelera SA,41.55193,1.68554,https://www.gem.wiki/Pobla_De_Claramunt_power_station
Puerto De Barcelona power station,oil_gas,Spain,1,operating,434.8,2003,Naturgy Energy Group SA,41.3366,2.1594,https://www.gem.wiki/Puerto_De_Barcelona_power_station
Puerto De Barcelona power station,oil_gas,Spain,2,operating,431.4,2003,Naturgy Energy Group SA,41.3366,2.1594,https://www.gem.wiki/Puerto_De_Barcelona_power_station
Puertollano power station,oil_gas,Spain,CC,operating,70.0,2000,Repsol SA,38.6707,-4.052,https://www.gem.wiki/Puertollano_power_station
Punta Grande power station,oil_gas,Spain,GT1,operating,38.0,1988,Endesa SA,28.97001,-13.54123,https://www.gem.wiki/Punta_Grande_power_station
Punta Grande power station,oil_gas,Spain,GT2,operating,23.0,1998,Endesa SA,28.97001,-13.54123,https://www.gem.wiki/Punta_Grande_power_station
Punta Grande power station,oil_gas,Spain,IC1-3,operating,24.0,1987,Endesa SA,28.97001,-13.54123,https://www.gem.wiki/Punta_Grande_power_station
Punta Grande power station,oil_gas,Spain,IC4-5,operating,32.0,1989,Endesa SA,28.97001,-13.54123,https://www.gem.wiki/Punta_Grande_power_station
Punta Grande power station,oil_gas,Spain,IC6,operating,24.0,1992,Endesa SA,28.97001,-13.54123,https://www.gem.wiki/Punta_Grande_power_station
Punta Grande power station,oil_gas,Spain,IC7-8,operating,36.0,2002,Endesa SA,28.97001,-13.54123,https://www.gem.wiki/Punta_Grande_power_station
Punta Grande power station,oil_gas,Spain,IC9-11,operating,57.0,2015,Endesa SA,28.97001,-13.54123,https://www.gem.wiki/Punta_Grande_power_station
Refineria La Rabida power station,oil_gas,Spain,CC,operating,83.0,2010,Compañía Española de Petróleos SA,37.18568,-6.90083,https://www.gem.wiki/Refineria_La_Rabida_power_station
Refineria La Rabida power station,oil_gas,Spain,CHP,operating,50.0,1990,Compañía Española de Petróleos SA,37.18568,-6.90083,https://www.gem.wiki/Refineria_La_Rabida_power_station
Repsol Cartagena Refinery power station,oil_gas,Spain,CHP1,operating,42.0,,Repsol SA,37.57512,-0.92928,https://www.gem.wiki/Repsol_Cartagena_Refinery_power_station
Repsol Cartagena Refinery power station,oil_gas,Spain,CHP2,operating,45.0,2011,Repsol SA,37.57512,-0.92928,https://www.gem.wiki/Repsol_Cartagena_Refinery_power_station
Rossello Mill power station,oil_gas,Spain,1,operating,23.0,1998,Enel Green Power SpA,41.6942,0.59499,https://www.gem.wiki/Rossello_Mill_power_station
SAICA Mill Zaragoza power station,oil_gas,Spain,1,operating,50.0,,Sociedad Anónima Industrias Celulosa Aragonesa,41.67343124,-0.8704411488,https://www.gem.wiki/SAICA_Mill_Zaragoza_power_station
SAICA Mill Zaragoza power station,oil_gas,Spain,2,operating,41.0,,Sociedad Anónima Industrias Celulosa Aragonesa,41.67343124,-0.8704411488,https://www.gem.wiki/SAICA_Mill_Zaragoza_power_station
Sabón 3 power station,oil_gas,Spain,1,operating,391.0,2008,Naturgy Energy Group SA,43.329,-8.503,https://www.gem.wiki/Sabón_3_power_station
