project,type,country,unit,status,capacity,start_year,owner,lat,lng,url
Fuling nuclear power plant,nuclear,China,3,cancelled,1250.0,,State Power Investment Group CO LTD,29.85131,107.5308,https://gem.wiki/Fuling_nuclear_power_plant
Fuling nuclear power plant,nuclear,China,4,cancelled,1250.0,,State Power Investment Group CO LTD,29.85131,107.5308,https://gem.wiki/Fuling_nuclear_power_plant
Fuqing nuclear power plant,nuclear,China,1,operating,1089.0,2014.0,China Nuclear Power CO LTD [51%]; Huadian New Energy Group CO LTD [39%]; Fujian Investment and Development Group CO LTD [10%],25.4403,119.4426,https://gem.wiki/Fuqing_nuclear_power_plant
Fuqing nuclear power plant,nuclear,China,2,operating,1089.0,2015.0,China Nuclear Power CO LTD [51%]; Huadian New Energy Group CO LTD [39%]; Fujian Investment and Development Group CO LTD [10%],25.4403,119.4426,https://gem.wiki/Fuqing_nuclear_power_plant
Fuqing nuclear power plant,nuclear,China,3,operating,1089.0,2016.0,China Nuclear Power CO LTD [51%]; Huadian New Energy Group CO LTD [39%]; Fujian Investment and Development Group CO LTD [10%],25.4403,119.4426,https://gem.wiki/Fuqing_nuclear_power_plant
Fuqing nuclear power plant,nuclear,China,4,operating,1089.0,2017.0,China Nuclear Power CO LTD [51%]; Huadian New Energy Group CO LTD [39%]; Fujian Investment and Development Group CO LTD [10%],25.4403,119.4426,https://gem.wiki/Fuqing_nuclear_power_plant
Fuqing nuclear power plant,nuclear,China,5,operating,1150.0,2021.0,China Nuclear Power CO LTD [51%]; Huadian New Energy Group CO LTD [39%]; Fujian Investment and Development Group CO LTD [10%],25.4403,119.4426,https://gem.wiki/Fuqing_nuclear_power_plant
Fuqing nuclear power plant,nuclear,China,6,operating,1150.0,2022.0,China Nuclear Power CO LTD [51%]; Huadian New Energy Group CO LTD [39%]; Fujian Investment and Development Group CO LTD [10%],25.4403,119.4426,https://gem.wiki/Fuqing_nuclear_power_plant
Gansu Wuwei Thorium Molten Salt Reactor nuclear power plant,nuclear,China,,construction,2.0,,Chinese Academy of Sciences,38.9487,102.4747,https://gem.wiki/Gansu_Wuwei_Thorium_Molten_Salt_Reactor_nuclear_power_plant
Ganzhou nuclear power plant,nuclear,China,1-1,cancelled,1250.0,,China General Nuclear Power Group CO LTD,25.82845,114.9461,https://gem.wiki/Ganzhou_nuclear_power_plant
Ganzhou nuclear power plant,nuclear,China,1-2,cancelled,1250.0,,China General Nuclear Power Group CO LTD,25.82845,114.9461,https://gem.wiki/Ganzhou_nuclear_power_plant
Ganzhou nuclear power plant,nuclear,China,3,cancelled,1250.0,,China General Nuclear Power Group CO LTD,25.82845,114.9461,https://gem.wiki/Ganzhou_nuclear_power_plant
Ganzhou nuclear power plant,nuclear,China,4,cancelled,1250.0,,China General Nuclear Power Group CO LTD,25.82845,114.9461,https://gem.wiki/Ganzhou_nuclear_power_plant
Guizhou Small Reactor nuclear power plant,nuclear,China,1,cancelled,100.0,,China Guangdong Nuclear Power Group CO LTD,27.7373,109.1852,https://gem.wiki/Guizhou_Small_Reactor_nuclear_power_plant
Guizhou Small Reactor nuclear power plant,nuclear,China,2,cancelled,100.0,,China Guangdong Nuclear Power Group CO LTD,27.7373,109.1852,https://gem.wiki/Guizhou_Small_Reactor_nuclear_power_plant
Haifeng nuclear power plant,nuclear,China,1,cancelled,1250.0,,China National Nuclear CORP,22.7913,115.1827,https://gem.wiki/Haifeng_nuclear_power_plant
Haifeng nuclear power plant,nuclear,China,2,cancelled,1250.0,,China National Nuclear CORP,22.7913,115.1827,https://gem.wiki/Haifeng_nuclear_power_plant
