project,type,country,unit,plant_local,status,capacity,subnational,region,start_year,owner,parent,lat,lng,url
Panshan power station,coal,China,Unit 1,天津盘山发电厂,operating,530,Tianjin,Asia,1994,Tianjin Guoneng Panshan Power Generation Co Ltd,Tianjin STATE-OWNED CAPITAL Investment and Management Co Ltd [34.5%]; GD POWER Development Co Ltd [26.1%]; CLP China (Tianjin) [19.5%]; China Shenhua Energy Co Ltd [19.4%],39.98014,117.46307,https://www.gem.wiki/Panshan_power_station
Panshan power station,coal,China,Unit 2,天津盘山发电厂,operating,530,Tianjin,Asia,1996,Tianjin Guoneng Panshan Power Generation Co Ltd,Tianjin STATE-OWNED CAPITAL Investment and Management Co Ltd [34.5%]; GD POWER Development Co Ltd [26.1%]; CLP China (Tianjin) [19.5%]; China Shenhua Energy Co Ltd [19.4%],39.98014,117.46307,https://www.gem.wiki/Panshan_power_station
Panshan power station,coal,China,Unit 3,天津盘山发电厂,operating,600,Tianjin,Asia,2005,Tianjin Datang International Panshan Power Generation Co Ltd,Datang International Power Generation Co Ltd [75.0%]; Tianjin STATE-OWNED CAPITAL Investment and Management Co Ltd [24.6%],39.98014,117.46307,https://www.gem.wiki/Panshan_power_station
Panshan power station,coal,China,Unit 4,天津盘山发电厂,operating,600,Tianjin,Asia,2005,Tianjin Datang International Panshan Power Generation Co Ltd,Datang International Power Generation Co Ltd [75.0%]; Tianjin STATE-OWNED CAPITAL Investment and Management Co Ltd [24.6%],39.98014,117.46307,https://www.gem.wiki/Panshan_power_station
Panshi power station,coal,China,Unit 1,华能磐石热电厂,cancelled,300,Jilin,Asia,,Huaneng Jilin Power Generation Co Ltd,Huaneng Power International Inc,42.91027,126.09806,https://www.gem.wiki/Panshi_power_station
Panshi power station,coal,China,Unit 2,华能磐石热电厂,cancelled,300,Jilin,Asia,,Huaneng Jilin Power Generation Co Ltd,Huaneng Power International Inc,42.91027,126.09806,https://www.gem.wiki/Panshi_power_station
Panxian-1 power station,coal,China,"Phase I, Unit 1",贵州盘江电投发电盘县电厂,retired,200,Guizhou,Asia,1993,Guizhou Qiangui Power Generation Co Ltd,Guizhou Qiansheng State-Owned Assets Management Co Ltd [36.2%]; Guizhou Panjiang Investment Holding (Group) Co Ltd [33.9%]; Guizhou Wujiang Energy Group Co Ltd [20.0%],26.01083,104.51611,https://www.gem.wiki/Panxian-1_power_station
Panxian-1 power station,coal,China,"Phase I, Unit 2",贵州盘江电投发电盘县电厂,retired,200,Guizhou,Asia,1994,Guizhou Qiangui Power Generation Co Ltd,Guizhou Qiansheng State-Owned Assets Management Co Ltd [36.2%]; Guizhou Panjiang Investment Holding (Group) Co Ltd [33.9%]; Guizhou Wujiang Energy Group Co Ltd [20.0%],26.01083,104.51611,https://www.gem.wiki/Panxian-1_power_station
Panxian-1 power station,coal,China,"Phase I, Unit 3",贵州盘江电投发电盘县电厂,retired,200,Guizhou,Asia,1996,Guizhou Qiangui Power Generation Co Ltd,Guizhou Qiansheng State-Owned Assets Management Co Ltd [36.2%]; Guizhou Panjiang Investment Holding (Group) Co Ltd [33.9%]; Guizhou Wujiang Energy Group Co Ltd [20.0%],26.01083,104.51611,https://www.gem.wiki/Panxian-1_power_station
Panxian-1 power station,coal,China,"Phase I, Unit 4",贵州盘江电投发电盘县电厂,retired,200,Guizhou,Asia,2001,Guizhou Qiangui Power Generation Co Ltd,Guizhou Qiansheng State-Owned Assets Management Co Ltd [36.2%]; Guizhou Panjiang Investment Holding (Group) Co Ltd [33.9%]; Guizhou Wujiang Energy Group Co Ltd [20.0%],26.01083,104.51611,https://www.gem.wiki/Panxian-1_power_station
Panxian-1 power station,coal,China,"Phase I, Unit 5",贵州盘江电投发电盘县电厂,retired,200,Guizhou,Asia,2001,Guizhou Qiangui Power Generation Co Ltd,Guizhou Qiansheng State-Owned Assets Management Co Ltd [36.2%]; Guizhou Panjiang Investment Holding (Group) Co Ltd [33.9%]; Guizhou Wujiang Energy Group Co Ltd [20.0%],26.01083,104.51611,https://www.gem.wiki/Panxian-1_power_station
Panxian-1 power station,coal,China,"Phase III, Unit 6",贵州盘江电投发电盘县电厂,operating,660,Guizhou,Asia,2013,Guizhou Qiangui Power Generation Co Ltd,Guizhou Qiansheng State-Owned Assets Management Co Ltd [36.2%]; Guizhou Panjiang Investment Holding (Group) Co Ltd [33.9%]; Guizhou Wujiang Energy Group Co Ltd [20.0%],26.01083,104.51611,https://www.gem.wiki/Panxian-1_power_station
Panxian-1 power station,coal,China,"Phase III, Unit 7",贵州盘江电投发电盘县电厂,operating,660,Guizhou,Asia,2014,Guizhou Qiangui Power Generation Co Ltd,Guizhou Qiansheng State-Owned Assets Management Co Ltd [36.2%]; Guizhou Panjiang Investment Holding (Group) Co Ltd [33.9%]; Guizhou Wujiang Energy Group Co Ltd [20.0%],26.01083,104.51611,https://www.gem.wiki/Panxian-1_power_station
Panxian-2 power station,coal,China,"Phase I, Unit 1",粤电粤黔盘南电厂,operating,600,Guizhou,Asia,2006,Guizhou Yueqian Electric Power Co Ltd,Guangdong Hengjian Investment Holding Co Ltd [48.8%]; China Huaneng Group [15.4%]; Guangzhou Development Group Inc [15.0%]; Guangdong Electric Power Development Co Ltd [13.0%],25.4686,104.59241,https://www.gem.wiki/Panxian-2_power_station
Panxian-2 power station,coal,China,"Phase I, Unit 2",粤电粤黔盘南电厂,operating,600,Guizhou,Asia,2006,Guizhou Yueqian Electric Power Co Ltd,Guangdong Hengjian Investment Holding Co Ltd [48.8%]; China Huaneng Group [15.4%]; Guangzhou Development Group Inc [15.0%]; Guangdong Electric Power Development Co Ltd [13.0%],25.4686,104.59241,https://www.gem.wiki/Panxian-2_power_station
Panxian-2 power station,coal,China,"Phase II, Unit 3",粤电粤黔盘南电厂,operating,600,Guizhou,Asia,2007,Guizhou Yueqian Electric Power Co Ltd,Guangdong Hengjian Investment Holding Co Ltd [48.8%]; China Huaneng Group [15.4%]; Guangzhou Development Group Inc [15.0%]; Guangdong Electric Power Development Co Ltd [13.0%],25.4686,104.59241,https://www.gem.wiki/Panxian-2_power_station
Panxian-2 power station,coal,China,"Phase II, Unit 4",粤电粤黔盘南电厂,operating,600,Guizhou,Asia,2007,Guizhou Yueqian Electric Power Co Ltd,Guangdong Hengjian Investment Holding Co Ltd [48.8%]; China Huaneng Group [15.4%]; Guangzhou Development Group Inc [15.0%]; Guangdong Electric Power Development Co Ltd [13.0%],25.4686,104.59241,https://www.gem.wiki/Panxian-2_power_station
Panxian-2 power station,coal,China,"Phase III, Unit 5",粤电粤黔盘南电厂,pre-permit,660,Guizhou,Asia,,Guizhou Yueqian Electric Power Co Ltd,Guangdong Hengjian Investment Holding Co Ltd [48.8%]; China Huaneng Group [15.4%]; Guangzhou Development Group Inc [15.0%]; Guangdong Electric Power Development Co Ltd [13.0%],25.4686,104.59241,https://www.gem.wiki/Panxian-2_power_station
